I,II,RESP,SCG,timestamp
-0.089,-0.04,0.147,2.228,0.0
-0.089,-0.038,0.147,2.258,0.0002000000000066393
-0.089,-0.038,0.148,2.289,0.0004000000000132786
-0.089,-0.036,0.148,2.319,0.0006000000000199179
-0.09,-0.035,0.148,2.35,0.0008000000000265572
-0.09,-0.034,0.149,2.411,0.0010000000000331966
-0.09,-0.033,0.149,2.441,0.0011999999999829924
-0.09,-0.031,0.15,2.472,0.0013999999999896318
-0.091,-0.03,0.15,2.503,0.001599999999996271
-0.091,-0.029,0.15,2.533,0.0018000000000029104
-0.091,-0.027,0.151,2.564,0.0020000000000095497
-0.092,-0.026,0.151,2.624,0.002200000000016189
-0.092,-0.024,0.152,2.655,0.0024000000000228283
-0.092,-0.023,0.152,2.686,0.0026000000000294676
-0.092,-0.022,0.153,2.716,0.002800000000036107
-0.092,-0.02,0.153,2.747,0.002999999999985903
-0.093,-0.019,0.153,2.777,0.003199999999992542
-0.093,-0.017,0.154,2.808,0.0033999999999991815
-0.093,-0.015,0.154,2.838,0.0036000000000058208
-0.093,-0.013,0.154,2.838,0.00380000000001246
-0.093,-0.012,0.155,2.868,0.004000000000019099
-0.094,-0.01,0.155,2.899,0.004200000000025739
-0.094,-0.009,0.156,2.93,0.004400000000032378
-0.094,-0.007,0.156,2.96,0.004599999999982174
-0.094,-0.005,0.157,2.96,0.004799999999988813
-0.094,-0.003,0.157,2.991,0.0049999999999954525
-0.094,-0.001,0.157,3.021,0.005200000000002092
-0.094,0.001,0.158,3.052,0.005400000000008731
-0.094,0.003,0.158,3.052,0.0056000000000153705
-0.094,0.005,0.158,3.082,0.00580000000002201
-0.094,0.007,0.159,3.082,0.006000000000028649
-0.094,0.009,0.159,3.113,0.006200000000035288
-0.094,0.011,0.16,3.113,0.006399999999985084
-0.094,0.013,0.16,3.143,0.006599999999991724
-0.094,0.015,0.161,3.143,0.006799999999998363
-0.094,0.017,0.161,3.143,0.007000000000005002
-0.094,0.02,0.161,3.174,0.0072000000000116415
-0.094,0.022,0.162,3.174,0.007400000000018281
-0.094,0.024,0.162,3.204,0.00760000000002492
-0.094,0.027,0.162,3.235,0.0078000000000315595
-0.093,0.029,0.163,3.235,0.007999999999981355
-0.093,0.031,0.163,3.265,0.008199999999987995
-0.093,0.034,0.164,3.265,0.008399999999994634
-0.093,0.036,0.164,3.296,0.008600000000001273
-0.092,0.038,0.164,3.327,0.008800000000007913
-0.092,0.041,0.165,3.327,0.009000000000014552
-0.092,0.044,0.165,3.357,0.009200000000021191
-0.091,0.046,0.165,3.387,0.00940000000002783
-0.091,0.049,0.166,3.387,0.00960000000003447
-0.09,0.051,0.166,3.387,0.009799999999984266
-0.089,0.054,0.167,3.387,0.009999999999990905
-0.089,0.056,0.167,3.387,0.010199999999997544
-0.088,0.059,0.168,3.387,0.010400000000004184
-0.087,0.062,0.168,3.387,0.010600000000010823
-0.086,0.064,0.168,3.357,0.010800000000017462
-0.085,0.067,0.169,3.357,0.011000000000024102
-0.085,0.07,0.169,3.357,0.011200000000030741
-0.083,0.072,0.169,3.357,0.01140000000003738
-0.082,0.075,0.17,3.357,0.011599999999987176
-0.081,0.078,0.17,3.357,0.011799999999993815
-0.08,0.08,0.171,3.327,0.012000000000000455
-0.078,0.083,0.171,3.327,0.012200000000007094
