I,II,RESP,SCG,timestamp
-0.044,-0.051,0.086,-1.159,0.0
-0.044,-0.051,0.086,-1.099,0.0001999999999497959
-0.044,-0.051,0.086,-1.067,0.0003999999998995918
-0.044,-0.051,0.086,-1.036,0.0005999999998493877
-0.044,-0.051,0.086,-1.007,0.0007999999997991836
-0.043,-0.051,0.086,-0.976,0.0010000000002037268
-0.043,-0.051,0.086,-0.944,0.0012000000001535227
-0.043,-0.051,0.087,-0.916,0.0014000000001033186
-0.043,-0.052,0.087,-0.884,0.0016000000000531145
-0.043,-0.052,0.087,-0.884,0.0018000000000029104
-0.043,-0.052,0.087,-0.852,0.0019999999999527063
-0.043,-0.052,0.087,-0.793,0.002199999999902502
-0.043,-0.052,0.087,-0.761,0.002399999999852298
-0.043,-0.052,0.087,-0.733,0.002599999999802094
-0.043,-0.052,0.087,-0.701,0.002800000000206637
-0.043,-0.052,0.087,-0.669,0.003000000000156433
-0.043,-0.052,0.087,-0.641,0.003200000000106229
-0.043,-0.052,0.087,-0.609,0.003400000000056025
-0.043,-0.052,0.087,-0.578,0.0036000000000058208
-0.043,-0.052,0.087,-0.549,0.0037999999999556167
-0.042,-0.052,0.087,-0.518,0.0039999999999054126
-0.042,-0.052,0.088,-0.486,0.0041999999998552084
-0.042,-0.052,0.088,-0.458,0.004399999999805004
-0.042,-0.052,0.088,-0.458,0.004600000000209548
-0.042,-0.052,0.088,-0.426,0.0048000000001593435
-0.042,-0.052,0.088,-0.395,0.005000000000109139
-0.042,-0.053,0.088,-0.366,0.005200000000058935
-0.042,-0.053,0.088,-0.335,0.005400000000008731
-0.042,-0.053,0.088,-0.303,0.005599999999958527
-0.042,-0.053,0.088,-0.275,0.005799999999908323
-0.042,-0.053,0.088,-0.243,0.005999999999858119
-0.042,-0.053,0.088,-0.211,0.006199999999807915
-0.042,-0.053,0.088,-0.183,0.006400000000212458
-0.042,-0.053,0.088,-0.151,0.006600000000162254
-0.042,-0.053,0.088,-0.12,0.00680000000011205
-0.042,-0.053,0.088,-0.092,0.007000000000061846
-0.042,-0.053,0.088,-0.06,0.0072000000000116415
-0.042,-0.053,0.088,-0.028,0.007399999999961437
-0.042,-0.053,0.088,0.032,0.007599999999911233
-0.042,-0.053,0.088,0.063,0.007799999999861029
-0.042,-0.053,0.089,0.092,0.007999999999810825
-0.042,-0.053,0.089,0.123,0.008200000000215368
-0.042,-0.053,0.089,0.155,0.008400000000165164
-0.042,-0.053,0.089,0.183,0.00860000000011496
-0.042,-0.053,0.089,0.183,0.008800000000064756
-0.042,-0.053,0.089,0.215,0.009000000000014552
-0.041,-0.053,0.089,0.215,0.009199999999964348
-0.041,-0.053,0.089,0.247,0.009399999999914144
-0.041,-0.053,0.089,0.247,0.00959999999986394
-0.041,-0.053,0.089,0.275,0.009799999999813735
-0.041,-0.053,0.089,0.306,0.010000000000218279
-0.041,-0.053,0.089,0.338,0.010200000000168075
-0.041,-0.052,0.089,0.338,0.01040000000011787
-0.041,-0.052,0.089,0.366,0.010600000000067666
-0.041,-0.052,0.09,0.398,0.010800000000017462
-0.041,-0.052,0.09,0.43,0.010999999999967258
-0.041,-0.052,0.09,0.458,0.011199999999917054
-0.041,-0.052,0.09,0.49,0.01139999999986685
-0.041,-0.052,0.09,0.521,0.011599999999816646
-0.04,-0.052,0.09,0.549,0.011800000000221189
-0.04,-0.052,0.09,0.549,0.012000000000170985
-0.04,-0.052,0.09,0.581,0.012200000000120781
-0.04,-0.052,0.09,0.613,0.012400000000070577
-0.04,-0.052,0.09,0.613,0.012600000000020373
-0.04,-0.052,0.09,0.641,0.012799999999970169
-0.04,-0.052,0.09,0.673,0.012999999999919964
-0.04,-0.052,0.09,0.673,0.01319999999986976
-0.04,-0.052,0.09,0.704,0.013399999999819556
-0.04,-0.052,0.09,0.733,0.0136000000002241
-0.04,-0.052,0.091,0.733,0.013800000000173895
-0.04,-0.052,0.091,0.764,0.014000000000123691
-0.04,-0.052,0.091,0.764,0.014200000000073487
-0.04,-0.052,0.091,0.796,0.014400000000023283
-0.039,-0.052,0.091,0.796,0.014599999999973079
-0.039,-0.052,0.091,0.824,0.014799999999922875
-0.039,-0.052,0.091,0.824,0.01499999999987267
-0.039,-0.052,0.091,0.824,0.015199999999822467
-0.039,-0.052,0.091,0.856,0.01540000000022701
-0.039,-0.052,0.091,0.856,0.015600000000176806
-0.039,-0.052,0.091,0.888,0.0158000000001266
-0.039,-0.052,0.091,0.888,0.016000000000076398
-0.039,-0.052,0.091,0.888,0.016200000000026193
-0.038,-0.052,0.091,0.888,0.01639999999997599
-0.038,-0.052,0.091,0.916,0.016599999999925785
-0.038,-0.052,0.092,0.916,0.01679999999987558
-0.038,-0.052,0.092,0.916,0.016999999999825377
-0.038,-0.052,0.092,0.916,0.017199999999775173
-0.038,-0.052,0.092,0.916,0.017400000000179716
-0.038,-0.052,0.092,0.916,0.017600000000129512
-0.038,-0.052,0.092,0.948,0.017800000000079308
-0.038,-0.052,0.092,0.948,0.018000000000029104
-0.038,-0.052,0.092,0.948,0.0181999999999789
-0.038,-0.052,0.092,0.979,0.018399999999928696
-0.038,-0.052,0.092,0.979,0.01859999999987849
-0.038,-0.052,0.092,0.979,0.018799999999828287
-0.037,-0.052,0.092,0.979,0.018999999999778083
-0.037,-0.052,0.092,0.979,0.019200000000182627
-0.037,-0.052,0.092,0.979,0.019400000000132422
-0.037,-0.053,0.092,0.979,0.01960000000008222
-0.037,-0.053,0.092,0.979,0.019800000000032014
-0.037,-0.053,0.092,0.979,0.01999999999998181
-0.037,-0.053,0.092,0.979,0.020199999999931606
-0.037,-0.053,0.092,1.007,0.020399999999881402
-0.037,-0.053,0.092,1.007,0.020599999999831198
-0.037,-0.053,0.093,1.007,0.020799999999780994
-0.037,-0.053,0.093,0.979,0.021000000000185537
-0.037,-0.053,0.093,0.979,0.021200000000135333
-0.037,-0.053,0.093,0.979,0.02140000000008513
-0.037,-0.053,0.093,0.979,0.021600000000034925
-0.036,-0.053,0.093,0.979,0.02179999999998472
-0.036,-0.053,0.093,0.979,0.021999999999934516
-0.036,-0.053,0.093,0.979,0.022199999999884312
-0.036,-0.053,0.093,0.979,0.022399999999834108
-0.036,-0.053,0.093,0.979,0.022599999999783904
-0.036,-0.053,0.093,0.979,0.022800000000188447
-0.036,-0.053,0.093,0.979,0.023000000000138243
-0.036,-0.053,0.093,0.979,0.02320000000008804
-0.036,-0.053,0.093,0.979,0.023400000000037835
-0.036,-0.053,0.093,0.979,0.02359999999998763
-0.036,-0.053,0.093,0.948,0.023799999999937427
-0.036,-0.053,0.094,0.948,0.023999999999887223
-0.036,-0.053,0.094,0.948,0.02419999999983702
-0.036,-0.053,0.094,0.916,0.024399999999786814
-0.036,-0.053,0.094,0.916,0.024600000000191358
-0.036,-0.053,0.094,0.916,0.024800000000141154
-0.036,-0.053,0.094,0.888,0.02500000000009095
-0.036,-0.053,0.094,0.888,0.025200000000040745
-0.036,-0.053,0.094,0.856,0.02539999999999054
-0.036,-0.053,0.094,0.856,0.025599999999940337
-0.036,-0.053,0.094,0.824,0.025799999999890133
-0.036,-0.053,0.094,0.824,0.02599999999983993
