classification,index,amplitude
R,1747,0.3579338739104993
PCG_PEAK,2126,0.39556073362348027
T,3190,0.09764427483189113
PCG_PEAK,4154,0.4755659333453036
R,8007,0.36540816404237686
PCG_PEAK,8384,0.39119099482851105
T,9555,0.11310225112952116
PCG_PEAK,10483,0.387579640702431
PCG_PEAK,12021,0.19887474063558738
R,14317,0.3694576564009563
PCG_PEAK,14660,0.27204067638667007
T,15881,0.11627947502457998
PCG_PEAK,16795,0.29864617615095695
R,20642,0.3809208701392773
PCG_PEAK,21116,0.24019914698800018
T,22240,0.11153657792803769
PCG_PEAK,23086,0.30588683343426515
R,26834,0.38907102093893253
PCG_PEAK,27190,0.2982085020795038
T,28297,0.10957534341318786
PCG_PEAK,29239,0.31512792513098536
R,32756,0.3770545753993817
PCG_PEAK,33139,0.35389555445126386
T,34337,0.10565087128176992
PCG_PEAK,35145,0.42198511805380773
R,38306,0.3671939030317309
PCG_PEAK,38680,0.3817080094764729
T,39894,0.10296777820362833
PCG_PEAK,40670,0.4907726873594596
R,43583,0.3594225694020558
PCG_PEAK,44045,0.2990027025427898
T,45153,0.11016813580765018
PCG_PEAK,45964,0.4011895119065174
R,48752,0.38289184444974145
PCG_PEAK,49224,0.3238067288980258
T,50244,0.11460696243345277
PCG_PEAK,51159,0.3660524450549357
R,54029,0.3891786337467665
PCG_PEAK,54229,0.27556759887371046
T,55651,0.10981612937525943
PCG_PEAK,56412,0.31674498728704137
PCG_PEAK,58845,0.530784238915918
R,59508,0.3849740003604258
T,61057,0.10292928630134317
PCG_PEAK,61832,0.2682105169514887
R,64985,0.40095001115602524
PCG_PEAK,65331,0.28303404277120314
T,66468,0.10234845702391678
PCG_PEAK,67297,0.36732802693753885
R,70234,0.382048603708486
PCG_PEAK,70603,0.4406757781802104
T,71717,0.0981816846824586
PCG_PEAK,72498,0.47730050642306543
R,75312,0.3750582561093077
PCG_PEAK,75664,0.3144477435616154
PCG_PEAK,77597,0.47359518240215737
